Section,Distance (km),Sub Distance (km),skid,Latitude,Longitude
0102100F02,81.292,11.78,0.146666676,13.7129218,100.5714803
0102100F02,81.297,11.785,0.155000001,13.712931,100.5715256
0102100F02,81.302,11.79,0.175000012,13.7129409,100.5715717
0102100F02,81.307,11.795,0.216666654,13.7129504,100.5716165
0102100F02,81.312,11.8,0.186666667,13.7129601,100.5716616
0102100F02,81.317,11.805,0.224999994,13.7129702,100.5717064
0102100F02,81.322,11.81,0.180000007,13.71298,100.5717501
0102100F02,81.327,11.815,0.189999998,13.7129894,100.5717948
0102100F02,81.332,11.82,0.210000008,13.7129993,100.5718393
0102100F02,81.337,11.825,0.209999993,13.7130096,100.5718847
0102100F02,81.342,11.83,0.203333333,13.7130189,100.5719293
0102100F02,81.347,11.835,0.199999988,13.7130284,100.5719738
0102100F02,81.352,11.84,0.234999999,13.7130388,100.5720203
0102100F02,81.357,11.845,0.239999995,13.7130484,100.5720651
0102100F02,81.362,11.85,0.234999999,13.7130582,100.5721106
0102100F02,81.367,11.855,0.224999994,13.7130682,100.5721561
0102100F02,81.372,11.86,0.24666667,13.7130773,100.5722019
0102100F02,81.377,11.865,0.230000004,13.7130876,100.5722477
0102100F02,81.382,11.87,0.305000007,13.713098,100.5722925
0102100F02,81.387,11.875,0.170000002,13.7131066,100.5723375
0102100F02,81.392,11.88,0.179999992,13.713117,100.5723817
0102100F02,81.397,11.885,0.185000002,13.7131264,100.5724264
0102100F02,81.402,11.89,0.164999992,13.7131358,100.5724722
0102100F02,81.407,11.895,0.153333336,13.7131455,100.5725171
0102100F02,81.412,11.9,0.140000001,13.7131551,100.5725614
0102100F02,81.417,11.905,0.145000011,13.7131644,100.5726065
0102100F02,81.422,11.91,0.163333341,13.7131743,100.5726517
0102100F02,81.427,11.915,0.119999997,13.7131842,100.5726971
0102100F02,81.432,11.92,0.170000002,13.7131931,100.5727424
0102100F02,81.437,11.925,0.159999996,13.7132025,100.5727873
0102100F02,81.442,11.93,0.180000007,13.7132124,100.572833
0102100F02,81.447,11.935,0.164999992,13.7132216,100.5728776
0102100F02,81.452,11.94,0.150000006,13.7132295,100.5729235
0102100F02,81.457,11.945,0.146666661,13.7132364,100.5729706
0102100F02,81.462,11.95,0.175000012,13.713244,100.5730166
0102100F02,81.467,11.955,0.170000002,13.713255,100.5730613
0102100F02,81.472,11.96,0.206666663,13.7132622,100.573107
0102100F02,81.477,11.965,0.175000012,13.7132694,100.573152
0102100F02,81.482,11.97,0.170000002,13.7132757,100.5731979
0102100F02,81.487,11.975,0.180000007,13.7132827,100.5732434
0102100F02,81.492,11.98,0.200000003,13.7132881,100.5732888
0102100F02,81.497,11.985,0.200000003,13.7132941,100.5733349
0102100F02,81.502,11.99,0.196666658,13.7132985,100.57338
