Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longitude
0102100F01,43.793,11.575,0.119999997,13.7124483,100.5695904
0102100F01,43.798,11.58,0.150000006,13.7124608,100.5696349
0102100F01,43.803,11.585,0.200000003,13.7124729,100.5696791
0102100F01,43.808,11.59,0.113333322,13.7124847,100.5697237
0102100F01,43.813,11.595,0.164999992,13.7124964,100.5697681
0102100F01,43.818,11.6,0.126666665,13.7125083,100.5698133
0102100F01,43.823,11.605,0.146666676,13.7125189,100.5698577
0102100F01,43.828,11.61,0.189999998,13.7125301,100.5699027
0102100F01,43.833,11.615,0.159999996,13.7125417,100.5699479
0102100F01,43.838,11.62,0.129999995,13.7125525,100.5699925
0102100F01,43.843,11.625,0.145000011,13.7125632,100.5700373
0102100F01,43.848,11.63,0.13499999,13.7125741,100.5700825
0102100F01,43.853,11.635,0.140000001,13.7125851,100.5701265
0102100F01,43.858,11.64,0.13499999,13.7125961,100.5701717
0102100F01,43.863,11.645,0.159999996,13.7126069,100.5702169
0102100F01,43.868,11.65,0.119999997,13.7126174,100.5702614
0102100F01,43.873,11.655,0.153333336,13.7126281,100.570306
0102100F01,43.878,11.66,0.189999998,13.7126384,100.5703506
0102100F01,43.883,11.665,0.180000007,13.7126481,100.5703956
0102100F01,43.888,11.67,0.176666677,13.7126581,100.5704404
0102100F01,43.893,11.675,0.175000012,13.7126683,100.5704856
0102100F01,43.898,11.68,0.185000002,13.712678,100.5705308
0102100F01,43.903,11.685,0.143333331,13.7126876,100.5705759
0102100F01,43.908,11.69,0.155000001,13.7126972,100.570621
0102100F01,43.913,11.695,0.164999992,13.7127072,100.5706661
0102100F01,43.918,11.7,0.150000006,13.7127172,100.570711
0102100F01,43.923,11.705,0.209999993,13.7127266,100.5707564
0102100F01,43.928,11.71,0.209999993,13.7127362,100.5708012
0102100F01,43.933,11.715,0.196666658,13.7127465,100.5708461
0102100F01,43.938,11.72,0.180000007,13.7127566,100.5708914
0102100F01,43.943,11.725,0.200000003,13.7127663,100.5709355
0102100F01,43.948,11.73,0.156666666,13.7127763,100.5709808
0102100F01,43.953,11.735,0.143333331,13.7127863,100.5710256
0102100F01,43.958,11.74,0.159999996,13.7127962,100.57107
0102100F01,43.963,11.745,0.175000012,13.7128059,100.5711138
0102100F01,43.968,11.75,0.176666677,13.7128159,100.5711587
0102100F01,43.973,11.755,0.140000001,13.712826,100.5712046
