Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longitude
0102100R03,92.44,16.575,0.204999998,13.6863119,100.6022566
0102100R03,92.445,16.57,0.155000001,13.6863545,100.6022489
0102100R03,92.45,16.565,0.230000004,13.6863973,100.6022411
0102100R03,92.455,16.56,0.194999993,13.6864402,100.6022333
0102100R03,92.46,16.555,0.275000006,13.6864833,100.6022254
0102100R03,92.465,16.55,0.266666681,13.6865261,100.6022176
0102100R03,92.47,16.545,0.234999999,13.6865697,100.6022096
0102100R03,92.475,16.54,0.164999992,13.6866129,100.6022018
0102100R03,92.48,16.535,0.216666684,13.6866563,100.6021939
0102100R03,92.485,16.53,0.219999999,13.6866991,100.6021861
0102100R03,92.49,16.525,0.170000002,13.686742,100.6021782
0102100R03,92.495,16.52,0.189999998,13.6867847,100.6021704
0102100R03,92.5,16.515,0.236666664,13.6868272,100.6021627
0102100R03,92.505,16.51,0.204999998,13.6868693,100.602155
0102100R03,92.51,16.505,0.153333336,13.6869115,100.6021473
0102100R03,92.515,16.5,0.200000003,13.6869534,100.6021397
0102100R03,92.52,16.495,0.204999998,13.6869953,100.6021321
0102100R03,92.525,16.49,0.206666663,13.6870369,100.6021245
0102100R03,92.53,16.485,0.216666684,13.6870785,100.6021169
0102100R03,92.535,16.48,0.219999999,13.6871203,100.6021093
0102100R03,92.54,16.475,0.230000004,13.6871617,100.6021017
0102100R03,92.545,16.47,0.226666674,13.6872034,100.6020941
0102100R03,92.55,16.465,0.204999998,13.6872447,100.6020866
0102100R03,92.555,16.46,0.230000004,13.6872863,100.602079
0102100R03,92.56,16.455,0.230000004,13.687328,100.6020714
0102100R03,92.565,16.45,0.215000004,13.6873698,100.6020638
0102100R03,92.57,16.445,0.264999986,13.6874113,100.6020562
0102100R03,92.575,16.44,0.25666666,13.6874706,100.6020454
0102100R03,92.58,16.435,0.245000005,13.687533,100.602034
0102100R03,92.585,16.43,0.25,13.6875957,100.6020226
0102100R03,92.59,16.425,0.25,13.687647,100.6020133
0102100R03,92.595,16.42,0.219999984,13.6876912,100.6020054
0102100R03,92.6,16.415,0.145000011,13.6877355,100.6019974
0102100R03,92.605,16.41,0.153333336,13.6877797,100.6019894
0102100R03,92.61,16.405,0.180000007,13.6878239,100.6019815
0102100R03,92.615,16.4,0.200000003,13.6878684,100.6019735
0102100R03,92.62,16.395,0.234999999,13.6879132,100.6019654
0102100R03,92.625,16.39,0.223333344,13.687958,100.6019573
0102100R03,92.63,16.385,0.300000012,13.6880024,100.6019493
0102100R03,92.635,16.38,0.275000006,13.6880473,100.6019412
0102100R03,92.64,16.375,0.25999999,13.6880918,100.6019332
0102100R03,92.645,16.37,0.234999999,13.68814971,100.6019522
0102100R03,92.65,16.365,0.219999999,13.68819431,100.6019438
0102100R03,92.655,16.36,0.223333344,13.68823881,100.6019356
0102100R03,92.66,16.355,0.200000003,13.68828361,100.6019272
0102100R03,92.665,16.35,0.215000004,13.68832781,100.6019192
0102100R03,92.67,16.345,0.223333314,13.68837241,100.6019113
0102100R03,92.675,16.34,0.189999998,13.68841691,100.6019035
0102100R03,92.68,16.335,0.209999993,13.68846121,100.6018957
0102100R03,92.685,16.33,0.196666658,13.68850591,100.6018879
0102100R03,92.69,16.325,0.180000007,13.68855031,100.6018798
0102100R03,92.695,16.32,0.224999994,13.68859501,100.6018718
0102100R03,92.7,16.315,0.236666679,13.68863931,100.6018637
0102100R03,92.705,16.31,0.24000001,13.68868381,100.6018557
