Section,InterLat,InterLon,InterAlt,FrameNoCalculated,Sub_Distance__km_,MeasuredChainage,ReferencePoints,Latitude__deg_,Longitude__deg_,GPS_position_is_calculated,ImageFilename
0401302R05,13.64758578,100.6841525,7.18912,419,0.785,0.7851219,Kanchanapisak Expressway,13.64747121,100.6842969,FALSE,418.jpg
0401302R05,13.64762643,100.6841781,7.484175824,420,0.79,0.7901068,Kanchanapisak Expressway,13.64751075,100.6843239,FALSE,419.jpg
0401302R05,13.64766708,100.6842036,7.776428571,421,0.795,0.7951384,Kanchanapisak Expressway,13.64755029,100.6843509,FALSE,420.jpg
0401302R05,13.64770773,100.6842292,8.067692308,422,0.8,0.8001871,Kanchanapisak Expressway,13.64758982,100.6843779,FALSE,421.jpg
0401302R05,13.64774838,100.6842548,8.317348674,423,0.805,0.8052254,Kanchanapisak Expressway,13.64762936,100.6844049,FALSE,422.jpg
0401302R05,13.64778903,100.6842804,8.5193997,424,0.81,0.8102255,Kanchanapisak Expressway,13.64766889,100.6844319,FALSE,423.jpg
0401302R05,13.64782968,100.684306,8.72110055,425,0.815,0.8152218,Kanchanapisak Expressway,13.64770843,100.6844589,FALSE,424.jpg
0401302R05,13.64787033,100.6843316,8.92215,426,0.82,0.8202076,Kanchanapisak Expressway,13.64774796,100.6844859,FALSE,425.jpg
0401302R05,13.64791098,100.6843572,9.047495,427,0.825,0.8252058,Kanchanapisak Expressway,13.6477875,100.6845129,FALSE,426.jpg
0401302R05,13.64795163,100.6843827,9.1737,428,0.83,0.830183,Kanchanapisak Expressway,13.64782704,100.6845399,FALSE,427.jpg
0401302R05,13.64799228,100.6844083,9.302055,429,0.835,0.8351774,Kanchanapisak Expressway,13.64786657,100.6845669,FALSE,428.jpg
0401302R05,13.64803293,100.6844339,9.423636364,430,0.84,0.8401499,Kanchanapisak Expressway,13.64790611,100.6845939,FALSE,429.jpg
0401302R05,13.64807358,100.6844595,9.542662338,431,0.845,0.8451347,Kanchanapisak Expressway,13.64794564,100.6846209,FALSE,430.jpg
0401302R05,13.64811422,100.6844851,9.663051948,432,0.85,0.8501158,Kanchanapisak Expressway,13.64798518,100.6846479,FALSE,431.jpg
0401302R05,13.64815487,100.6845107,9.77945973,433,0.855,0.8551073,Kanchanapisak Expressway,13.64802471,100.6846749,FALSE,432.jpg
0401302R05,13.64819552,100.6845363,9.887123562,434,0.86,0.8600845,Kanchanapisak Expressway,13.64806425,100.6847019,FALSE,433.jpg
0401302R05,13.64823617,100.6845619,9.996488244,435,0.865,0.8650961,Kanchanapisak Expressway,13.64810379,100.6847289,FALSE,434.jpg
0401302R05,13.64827682,100.6845874,10.09746254,436,0.87,0.8700867,Kanchanapisak Expressway,13.64814332,100.6847559,FALSE,435.jpg
0401302R05,13.64831747,100.684613,10.17133367,437,0.875,0.8750944,Kanchanapisak Expressway,13.64818286,100.6847829,FALSE,436.jpg
0401302R05,13.64835812,100.6846386,10.2452048,438,0.88,0.8801279,Kanchanapisak Expressway,13.64822239,100.6848099,FALSE,437.jpg
0401302R05,13.64839877,100.6846642,10.31704056,439,0.885,0.8851624,Kanchanapisak Expressway,13.64826193,100.6848369,FALSE,438.jpg
0401302R05,13.64843942,100.6846898,10.37707561,440,0.89,0.8901939,Kanchanapisak Expressway,13.64830146,100.6848639,FALSE,439.jpg
0401302R05,13.64848007,100.6847154,10.43653981,441,0.895,0.8952284,Kanchanapisak Expressway,13.648341,100.6848909,FALSE,440.jpg
0401302R05,13.64852072,100.684741,10.49533801,442,0.9,0.9002657,Kanchanapisak Expressway,13.64838054,100.6849179,FALSE,441.jpg
0401302R05,13.64856137,100.6847665,11.17252747,443,0.905,0.9052935,Kanchanapisak Expressway,13.64842007,100.6849449,FALSE,442.jpg
0401302R05,13.64860202,100.6847921,11.89420579,444,0.91,0.9103155,Kanchanapisak Expressway,13.64845961,100.6849719,FALSE,443.jpg
0401302R05,13.64864267,100.6848177,12.61228771,445,0.915,0.9153709,Kanchanapisak Expressway,13.64849914,100.6849989,FALSE,444.jpg
0401302R05,13.64868332,100.6848433,12.61228771,445,0.92,0.9203968,Kanchanapisak Expressway,13.64853868,100.6850259,FALSE,445.jpg
0401302R05,13.64872397,100.6848689,12.61228771,445,0.925,0.9254246,Kanchanapisak Expressway,13.64857821,100.6850529,FALSE,446.jpg
0401302R05,13.64876462,100.6848945,12.61228771,445,0.93,0.9304676,Kanchanapisak Expressway,13.64861775,100.6850799,FALSE,447.jpg
0401302R05,13.64880526,100.6849201,12.61228771,445,0.935,0.9354601,Kanchanapisak Expressway,13.64865729,100.6851069,FALSE,448.jpg
0401302R05,13.64884591,100.6849456,12.61228771,445,0.94,0.940465,Kanchanapisak Expressway,13.64869682,100.6851339,FALSE,449.jpg
0401302R05,13.64888656,100.6849712,12.61228771,445,0.945,0.9454908,Kanchanapisak Expressway,13.64873636,100.6851609,FALSE,450.jpg
